Cust_Age,Qualification,Work_exp,Anual_Income,House_Mortgage,Fam_size,CreditCard_usage,AvgCC,Brokerage_Acc,CD_Acc,Banking_type,Personal_loan,ID_Cust
65,level_1,39,3472.2,7298.1,2,Inactive,56.68704,NO,NO,Online,Denied,1
57,level_3,31,11266.2,0.0,2,Inactive,276.34932,NO,NO,Offline,Applied,2
57,level_3,25,3117.6,0.0,4,Inactive,70.8588,NO,NO,Online,Denied,3
33,level_2,4,3826.8,7723.8,3,Active,70.8588,NO,NO,Offline,Denied,4
57,level_2,29,4392.9,0.0,4,Inactive,21.25764,NO,NO,Online,Denied,5
50,level_3,23,8077.5,0.0,3,Inactive,269.26344,YES,NO,Offline,Denied,6
34,level_1,7,2976.3,0.0,5,Active,56.68704,NO,NO,Online,Denied,7
30,level_2,2,3613.5,0.0,5,Inactive,127.54584,YES,NO,Offline,Denied,8
50,level_2,22,2976.3,0.0,4,Inactive,155.88936,NO,NO,Offline,Denied,9
54,level_1,28,779.4,0.0,4,Inactive,28.34352,YES,NO,Offline,Denied,10
66,level_3,38,11904.3,0.0,5,Inactive,403.89516000000003,NO,NO,Online,Applied,11
52,level_2,25,2409.3,0.0,2,Inactive,92.11644000000001,NO,NO,Online,Denied,12
64,level_1,37,2976.3,0.0,4,Inactive,106.2882,NO,NO,Online,Denied,13
41,level_1,15,5526.9,8361.0,5,Inactive,170.06112,NO,NO,Online,Denied,14
48,level_1,20,1275.3,0.0,2,Active,14.17176,NO,NO,Online,Denied,15
31,level_1,3,7298.1,0.0,5,Inactive,240.91992000000002,NO,NO,Online,Applied,16
59,level_2,33,1701.0,0.0,2,Inactive,7.08588,NO,NO,Offline,Denied,17
50,level_1,24,5669.1,0.0,2,Inactive,191.31876,NO,NO,Online,Denied,18
29,level_2,3,3046.5,11549.7,4,Inactive,7.08588,NO,NO,Online,Denied,19
63,level_2,36,708.3,0.0,5,Inactive,28.34352,NO,NO,Online,Denied,20
37,level_1,9,5810.4,9778.5,2,Inactive,177.147,NO,NO,Offline,Denied,21
30,level_1,2,10557.9,0.0,3,Inactive,510.18336,NO,NO,Online,Denied,22
64,level_3,36,5314.5,0.0,3,Inactive,120.45996000000001,NO,NO,Offline,Denied,23
29,level_2,1,9495.0,21753.9,2,Inactive,120.45996000000001,NO,NO,Online,Applied,24
26,level_1,0,3117.6,12754.8,5,Inactive,113.37408,NO,NO,Online,Denied,25
27,level_2,-1,3046.5,12471.3,4,Inactive,170.06112,NO,NO,Online,Denied,26
51,level_2,24,3613.5,6944.4,2,Active,92.11644000000001,NO,NO,Offline,Denied,27
66,level_2,39,1558.8,0.0,5,Inactive,42.51528,NO,NO,Offline,Denied,28
33,level_3,5,5951.7,7440.3,2,Active,205.49052,NO,NO,Offline,Denied,29
67,level_3,40,1417.5,0.0,4,Active,7.08588,NO,NO,Offline,Denied,30
60,level_1,34,10629.0,34083.0,2,Inactive,524.35512,NO,NO,Online,Denied,31
41,level_3,13,2763.9,0.0,3,Inactive,56.68704,NO,NO,Offline,Denied,32
32,level_2,5,2905.2,0.0,5,Inactive,120.45996000000001,NO,NO,Online,Denied,33
50,level_3,22,5881.5,17573.4,3,Inactive,28.34352,NO,NO,Online,Denied,34
36,level_1,9,6589.8,0.0,2,Inactive,0.0,NO,NO,Online,Denied,35
59,level_2,33,5598.0,20832.3,2,Active,191.31876,NO,NO,Online,Denied,36
